type,signl,time,price,profit ,profit percent
Entry long,buy,1/16/2020 0:25,8739.56,,
Exit long,buyclose,1/16/2020 1:30,8641.79,-29.47,-1.18
Entry long,buy,1/16/2020 1:55,8672.6,,
Exit long,buyclose,1/16/2020 12:00,8737.254,17.14,0.69
Entry long,buy,1/16/2020 16:35,8665.1,,
Exit long,buyclose,1/16/2020 17:35,8722.974,15.2,0.61
Entry long,buy,1/17/2020 0:50,8687.21,,
Exit long,buyclose,1/17/2020 1:55,8733.757,11.9,0.48
Entry long,buy,1/17/2020 12:05,8888.5,,
Exit long,buyclose,1/17/2020 12:20,8809.96,-23.59,-0.94
Entry long,buy,1/17/2020 12:50,8852.98,,
Exit long,buyclose,1/17/2020 16:00,8880.325,6.22,0.25
Entry long,buy,1/17/2020 19:50,8873,,
Exit long,buyclose,1/17/2020 22:40,8944.912,18.76,0.75
Entry long,buy,1/18/2020 4:30,8875.87,,
Exit long,buyclose,1/18/2020 6:10,8823.65,-16.21,-0.65
Entry long,buy,1/18/2020 6:15,8850.48,,
Exit long,buyclose,1/18/2020 6:25,8862.957,2.02,0.08
Entry long,buy,1/18/2020 15:40,8892.26,,
Exit long,buyclose,1/18/2020 22:20,8945.928,13.59,0.54
Entry long,buy,1/19/2020 6:45,9099.91,,
Exit long,buyclose,1/19/2020 11:00,9045,-16.59,-0.66
Entry long,buy,1/19/2020 22:15,8599.71,,
Exit long,buyclose,1/20/2020 22:40,8748.02,41.61,1.66
Entry long,buy,1/20/2020 23:05,8655.98,,
Exit long,buyclose,1/21/2020 19:40,8474.65,-53.87,-2.15
Entry long,buy,1/21/2020 19:45,8537.12,,
Exit long,buyclose,1/21/2020 20:00,8628.492,25.26,1.01
Entry long,buy,1/22/2020 8:40,8683.87,,
Exit long,buyclose,1/23/2020 5:30,8517.54,-49.38,-1.98
Entry long,buy,1/23/2020 5:45,8564,,
Exit long,buyclose,1/23/2020 6:00,8569.7,0.16,0.01
Entry long,buy,1/23/2020 6:35,8537.9,,
Exit long,buyclose,1/23/2020 7:15,8568.304,7.4,0.3
Entry long,buy,1/23/2020 9:05,8502.97,,
Exit long,buyclose,1/24/2020 9:50,8280.96,-66.77,-2.67
Entry long,buy,1/24/2020 10:40,8277.21,,
Exit long,buyclose,1/24/2020 11:20,8317.413,10.64,0.43
Entry long,buy,1/24/2020 22:10,8470,,
Exit long,buyclose,1/25/2020 0:30,8384,-26.88,-1.08
Entry long,buy,1/25/2020 1:30,8324.97,,
Exit long,buyclose,1/25/2020 3:00,8334.28,1.3,0.05
Entry long,buy,1/25/2020 13:00,8310,,
Exit long,buyclose,1/25/2020 13:15,8328.538,4.08,0.16
Entry long,buy,1/26/2020 0:00,8334.71,,
Exit long,buyclose,1/26/2020 3:30,8377.235,11.26,0.45
Entry long,buy,1/27/2020 8:50,8592.53,,
Exit long,buyclose,1/27/2020 9:25,8645.019,13.77,0.55
Entry long,buy,1/28/2020 5:00,9077.33,,
Exit long,buyclose,1/28/2020 5:20,8979.6,-28.42,-1.14
Entry long,buy,1/28/2020 8:25,8983.81,,
Exit long,buyclose,1/28/2020 11:05,9064.109,20.85,0.83
Entry long,buy,1/28/2020 15:05,9054.99,,
Exit long,buyclose,1/28/2020 23:30,9183.964,34.11,1.36
Entry long,buy,1/29/2020 10:05,9313.72,,
Exit long,buyclose,1/29/2020 10:15,9357.17,10.16,0.41
Entry long,buy,1/29/2020 11:40,9299.73,,
Exit long,buyclose,1/29/2020 19:35,9411.2,28.47,1.14
Entry long,buy,1/29/2020 23:55,9311.23,,
Exit long,buyclose,1/30/2020 0:25,9220.9,-25.75,-1.03
Entry long,buy,1/30/2020 0:50,9284.04,,
Exit long,buyclose,1/30/2020 0:55,9294.642,1.35,0.05
Entry long,buy,1/30/2020 16:35,9304.99,,
Exit long,buyclose,1/30/2020 17:05,9464.2,41.28,1.65
Entry long,buy,1/30/2020 23:40,9494.44,,
Exit long,buyclose,1/31/2020 5:40,9376.44,-32.57,-1.3
Entry long,buy,1/31/2020 6:15,9365.48,,
Exit long,buyclose,1/31/2020 8:45,9409.274,10.19,0.41
Entry long,buy,1/31/2020 10:50,9331.94,,
Exit long,buyclose,1/31/2020 22:10,9384.149,12.49,0.5
Entry long,buy,2/1/2020 6:00,9404.33,,
Exit long,buyclose,2/1/2020 6:40,9421.089,2.96,0.12
Entry long,buy,2/1/2020 8:40,9398.94,,
Exit long,buyclose,2/1/2020 11:25,9345.55,-15.7,-0.63
Entry long,buy,2/1/2020 11:30,9350,,
Exit long,buyclose,2/1/2020 16:30,9388.01,8.66,0.35
Entry long,buy,2/1/2020 22:40,9378.35,,
Exit long,buyclose,2/1/2020 23:10,9406.252,5.94,0.24
Entry long,buy,2/2/2020 0:30,9356.85,,
Exit long,buyclose,2/2/2020 2:10,9315,-12.68,-0.51
Entry long,buy,2/2/2020 3:00,9288.3,,
Exit long,buyclose,2/2/2020 3:15,9298.65,1.29,0.05
Entry long,buy,2/2/2020 3:45,9268.82,,
Exit long,buyclose,2/2/2020 4:05,9206.96,-18.18,-0.73
Entry long,buy,2/2/2020 4:10,9229.42,,
Exit long,buyclose,2/2/2020 4:30,9277.046,11.4,0.46
Entry long,buy,2/2/2020 14:10,9399.17,,
Exit long,buyclose,2/2/2020 14:30,9437.247,8.63,0.35
Entry long,buy,2/2/2020 22:35,9410.68,,
Exit long,buyclose,2/2/2020 23:55,9328.04,-23.45,-0.94
Entry long,buy,2/3/2020 7:30,9385.67,,
Exit long,buyclose,2/3/2020 11:00,9306.39,-22.62,-0.9
Entry long,buy,2/3/2020 13:35,9323.41,,
Exit long,buyclose,2/3/2020 14:40,9362.149,8.89,0.36
Entry long,buy,2/3/2020 15:30,9309.54,,
Exit long,buyclose,2/4/2020 0:20,9364.118,13.16,0.53
Entry long,buy,2/4/2020 2:00,9304.54,,
Exit long,buyclose,2/4/2020 9:15,9218.95,-24.5,-0.98
Entry long,buy,2/4/2020 9:20,9210.02,,
Exit long,buyclose,2/4/2020 11:25,9149.46,-17.94,-0.72
Entry long,buy,2/4/2020 12:40,9135.94,,
Exit long,buyclose,2/4/2020 15:05,9204.788,17.34,0.69
Entry long,buy,2/4/2020 18:55,9194.15,,
Exit long,buyclose,2/4/2020 23:00,9218.611,5.15,0.21
Entry long,buy,2/5/2020 22:15,9662.12,,
Exit long,buyclose,2/6/2020 12:00,9725.849,14.99,0.6
Entry long,buy,2/6/2020 18:20,9740.37,,
Exit long,buyclose,2/6/2020 20:30,9788.299,10.8,0.43
Entry long,buy,2/6/2020 22:30,9725.09,,
Exit long,buyclose,2/6/2020 23:00,9671.01,-15.4,-0.62
Entry long,buy,2/7/2020 4:25,9780.12,,
Exit long,buyclose,2/7/2020 4:35,9814.99,7.41,0.3
Entry long,buy,2/7/2020 12:15,9797.69,,
Exit long,buyclose,2/8/2020 13:40,9886.1,21.06,0.84
Entry long,buy,2/9/2020 14:05,10128.89,,
Exit long,buyclose,2/9/2020 15:20,10075.45,-14.69,-0.59
